,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
referral,1437.0,1000.0,0.6958942240779401,1092.0333333333333,1000.0,0.9157229632795092,596.0666666666666,1000.0,1.6776646907504755
email,262.2,1000.0,3.8138825324180017,199.43333333333334,1000.0,5.014206919605549,147.20000000000005,1000.0,6.793478260869563
direct,1.5,0.0,0.0,0.7333333333333334,0.0,0.0,0.9666666666666668,0.0,0.0
social,519.8333333333334,1000.0000000000001,1.9236934915036872,366.79999999999995,999.9999999999999,2.7262813522355507,180.69999999999993,1000.0,5.53403431101273
display,460.8666666666667,1000.0,2.1698249674526253,286.6333333333333,1000.0,3.488777764856379,131.26666666666665,1000.0,7.618080243778569
paid_search,140.93333333333334,999.9999999999999,7.095553453169346,118.13333333333333,1000.0000000000001,8.465011286681717,113.83333333333337,1000.0,8.784773060029279
organic_search,1.6666666666666665,0.0,0.0,4.233333333333334,0.0,0.0,0.9666666666666659,0.0,0.0
