,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
referral,1519.0,1000.0,0.6583278472679395,1200.0,1000.0,0.8333333333333334,538.0,1000.0,1.858736059479554
email,264.0,1000.0,3.787878787878788,138.0,1000.0,7.246376811594203,216.0,1000.0,4.62962962962963
direct,1.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0,-0.0
social,475.0,1000.0000000000001,2.105263157894737,348.0,999.9999999999999,2.8735632183908044,159.0,1000.0,6.289308176100629
display,435.0,1000.0,2.2988505747126435,291.0,1000.0,3.4364261168384878,144.0,1000.0,6.944444444444445
paid_search,129.0,999.9999999999999,7.751937984496124,82.0,1000.0000000000001,12.195121951219514,117.0,1000.0,8.547008547008547
organic_search,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,
