,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
referral,1212.0,1000.0,0.8250825082508251,895.0,1000.0,1.1173184357541899,591.0,1000.0,1.6920473773265652
email,281.0,1000.0,3.5587188612099645,274.0,1000.0,3.6496350364963503,101.0,1000.0,9.900990099009901
direct,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0
social,625.0,1000.0000000000001,1.6,436.0,999.9999999999999,2.2935779816513757,214.0,1000.0,4.672897196261682
display,528.0,1000.0,1.893939393939394,290.0,1000.0,3.4482758620689653,129.0,1000.0,7.751937984496124
paid_search,176.0,999.9999999999999,5.681818181818181,171.0,1000.0000000000001,5.84795321637427,134.0,1000.0,7.462686567164179
organic_search,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
